,priority,q_time,consult_time
90,2.0,3.1098127695069024,20.908707181577142
91,1.0,0.0,27.415953294351198
93,1.0,5.261519038215056,12.85742229151731
92,2.0,17.387130770095723,17.635877566310455
95,2.0,7.142407920841038,18.015098703174772
96,2.0,17.79252808357012,8.558081219455744
94,3.0,35.728731886565924,14.864679859677153
98,2.0,3.938278278461212,12.0060292585365
97,3.0,20.18690214434173,19.75116205045356
99,2.0,0.0,24.97665043523739
100,1.0,7.346513734581322,15.999069221103127
103,1.0,0.1933621352850423,8.65577013839038
102,1.0,10.05196929820113,23.680168601835476
101,2.0,30.05373662940019,14.446896532127539
106,1.0,4.3924952898867105,16.221184019202838
107,1.0,17.166419623829142,7.754414462149953
105,1.0,13.474337577467622,28.156943538767564
108,2.0,5.415157630743806,18.33569913389124
109,2.0,3.5901727413420303,17.080422589935097
104,3.0,61.38497743838866,4.952579281374028
110,3.0,11.433247603442169,23.811323850423605
111,2.0,0.0,23.14345175508106
113,2.0,13.289980738431495,25.388788832001865
115,2.0,15.429162059090459,15.910499522567079
112,3.0,38.82652993605166,12.165458306101755
114,3.0,35.26284816046086,13.828903916117724
116,3.0,42.37824140209477,11.398455266507654
117,3.0,17.727409402848025,13.189848116335497
118,2.0,7.670222894048038,12.575721002976024
119,2.0,0.03929317644360708,21.79468786117627
122,1.0,0.22950666075257686,12.378855302756165
120,3.0,0.0,19.453451734264945
124,1.0,5.482230179217822,13.55452256265471
123,1.0,3.7341944177007917,18.212244184150677
128,1.0,13.994088738319078,11.753699572960613
126,1.0,16.322066607332545,17.872331856810206
129,1.0,12.03654876494943,14.604557092913183
125,2.0,35.50553181559235,16.09603261828397
131,2.0,3.530878608559078,10.222001738069821
121,3.0,76.93183405463287,12.13906617018938
130,1.0,3.3913246996539783,31.33051964113838
127,3.0,75.60219170814685,12.70312727908663
132,1.0,1.5242831272273634,20.13051689440522
133,1.0,2.4941147384352007,11.421790661357136
134,3.0,0.0,10.442704334719565
135,2.0,0.0,12.251392385812778
136,3.0,0.0,27.611699918161094
137,3.0,0.0,14.868346384525466
138,3.0,0.0,17.07503199492885
139,3.0,0.0,22.47220374350104
140,2.0,7.41504434449871,14.291193028000635
141,3.0,0.0,8.566943530419849
143,3.0,0.0,19.03220453995823
142,3.0,0.0,26.96153851523127
144,1.0,15.526485993266988,24.267925449342556
147,1.0,6.4382828527502625,8.243805579013952
145,1.0,4.5504916041059005,32.181792490669295
146,2.0,17.486261033470782,5.7750657119138396
149,2.0,0.0,14.913709779529427
148,3.0,4.974236128590064,21.340964431094562
151,1.0,8.090147586825196,13.224987520696459
150,2.0,15.763787020958716,16.39595042666315
152,3.0,8.914641175414545,14.231266078695398
153,1.0,0.2891748159668168,10.786101488918348
154,3.0,6.105576942778271,12.65207058898477
155,3.0,4.5748898452498,24.124861845649093
156,2.0,9.092679583583731,24.203085692841796
157,2.0,1.5013809128906814,10.802888455804123
158,2.0,6.440914914713176,16.29657791173554
159,3.0,0.0,18.653840679253562
160,2.0,0.0,15.196197946482926
163,1.0,3.6452375908888826,22.631853125567886
161,1.0,10.625416981028593,25.82173135445055
164,2.0,19.969246569726465,7.44501598846432
162,2.0,26.42136610140369,27.312618846683563
165,2.0,0.0,18.91267766832857
167,3.0,0.0,11.79836239513088
166,3.0,0.0,37.09515575355999
168,2.0,0.0,13.708338572653702
169,1.0,0.0,21.91102618629816
170,3.0,0.0,16.3254320582289
171,3.0,7.734200351094614,17.516733236853497
173,1.0,10.166304883669,13.079082995228418
172,1.0,0.0,28.183770987363914
174,1.0,20.71252401130505,20.043349081336373
176,1.0,0.6324507373501547,24.53078200428945
178,1.0,1.4143895520319347,21.482981869599598
177,2.0,16.53654574357506,18.19412986276575
179,2.0,19.851020642865933,13.073153110836301
181,1.0,4.437655388164785,19.339935578475888
180,2.0,21.94036048054477,32.76935871224373
175,3.0,78.38931207731662,4.154840549648043
182,1.0,16.53609576195936,9.795849983977632
183,3.0,19.853614762996585,17.369245989394358
184,1.0,0.3109253254522173,23.62579097433263
186,1.0,3.4822072160561675,21.752776905383598
185,3.0,12.284103796023828,19.675894673842322
190,2.0,2.845779832652852,18.784253284549322
189,1.0,1.5247959177979737,24.267306750009766
188,3.0,45.178782255798524,13.08870667447195
192,1.0,11.98550707928689,21.420634721930583
187,3.0,44.75022658533885,36.00058912322538
194,1.0,16.107186731313732,9.827205964781115
193,2.0,23.841456385541733,18.508513168206264
191,3.0,65.90069520766792,3.294121462326302
195,2.0,13.700975982328146,21.96984549916965
196,3.0,16.38920768101434,14.90520216806658
197,3.0,2.630713506880511,21.05686138804549
198,2.0,0.0,23.67878127498261
199,3.0,1.6559506223643439,25.113875253068727
200,1.0,0.0,21.95273673478914
201,3.0,0.0,13.848164392419676
203,3.0,0.0,14.239058441234192
202,1.0,0.0,26.640853001813866
204,3.0,0.0,20.864151541703905
205,1.0,0.0,19.15405167691324
207,1.0,17.986141264872003,10.577794170449124
206,1.0,15.491789551396778,22.239885173305538
208,1.0,1.3156133866905293,18.81695325878036
209,2.0,0.6515320792050261,28.692058934645047
211,1.0,2.2293326909666575,19.62002554306855
215,1.0,2.2567418634148453,12.92291609338099
214,1.0,0.9700035835508061,19.2570612809086
212,2.0,21.95474183490842,11.573337341692422
217,1.0,4.2201237695603595,28.448839775013766
218,1.0,4.296225583638261,24.38125772963849
219,1.0,26.04986672881023,14.98669817973996
220,1.0,3.4561896592990706,12.923045102837477
210,3.0,88.43786063935022,12.940014080602396
216,2.0,48.077786602965716,21.453952141395803
221,2.0,0.18303487112916628,10.897530115076279
213,3.0,91.55831192980895,26.901138992164306
222,1.0,0.0,5.219808094190739
223,2.0,0.0,19.580117149210764
224,3.0,0.0,19.639275050206834
226,3.0,0.7177518326343488,9.412362355385994
225,3.0,10.784177346746219,24.911599736163225
228,2.0,4.745983878855441,30.6332009587195
229,1.0,2.531723926594168,22.98995691914888
227,3.0,39.70333597334729,14.532111758781866
230,3.0,8.786786599181596,18.651065873460084
231,3.0,0.0,12.332010975865614
232,2.0,0.0,17.4778925008668
233,3.0,0.0,28.35480903022699
234,3.0,1.656557840090045,24.473779366534018
235,3.0,16.019375610649604,23.196292236405952
236,1.0,0.0,23.25017067336921
237,3.0,20.333273752255536,9.735137573743486
238,2.0,18.86178407128091,11.953945472578198
242,1.0,4.823799888346457,20.882580241394407
